spriteIndex,名前,レア度,タイプ,説明文（フレーバーテキスト）
(既存分),,,,
0,木の剣,★1,装備,冒険の始まりといえばこれ。
1,布の服,★1,装備,軽くて動きやすい。
2,革の靴,★1,装備,長時間の勉強（冒険）でも疲れない。
3,小さな盾,★1,装備,誘惑を跳ね返すための盾。
4,ポーション,★1,消耗品,疲れが少し取れる魔法の薬。
5,パン,★1,消耗品,腹が減っては勉強ができぬ。
6,鋼の剣,★2,装備,鋭い切れ味で課題を切り裂く。
7,鎖の鎧,★2,装備,集中力を守るための頑丈な鎧。
8,魔法の杖,★2,装備,閃きを呼び起こす不思議な杖。
9,魔法の本,★2,装備,難しい知識が詰まっている。
10,伝説の剣,★3,装備,選ばれし勉強家だけが持てる黄金の剣。
11,ドラゴンの盾,★3,装備,あらゆる雑念を無効化する。
(ここから追加案：お菓子・勉強・アクセ),,,,
12,集中キャンディ,★1,消耗品,レモン味でリフレッシュ！
13,ひとくちチョコ,★1,消耗品,疲れた脳には糖分が一番。
14,サクサクビスケット,★1,消耗品,お茶が欲しくなる素朴な味。
15,三色団子,★1,消耗品,彩りが可愛い、和みのスイーツ。
16,消しゴムのカス,★1,ゴミ,頑張った証だけど、捨ててもいいかも。
17,使い古したノート,★1,消耗品,読み返すとやる気が湧いてくる。
18,癒やしのマカロン,★2,消耗品,食べるのがもったいない可愛さ。
19,星屑のコンペイトウ,★2,消耗品,噛むとキラキラした音がする。
20,情熱のドーナツ,★2,消耗品,燃えるようなやる気が湧く（気がする）。
21,銀のヘアピン,★2,装備,前髪を留めるのにちょうどいい。
22,赤いリボン,★2,装備,装備すると気分が華やぐ。
23,賢者の羽ペン,★2,装備,スラスラと答えが書ける不思議なペン。
24,静寂の耳栓,★2,装備,周りの音が聞こえなくなる魔法の耳栓。
25,幸運のコイン,★2,消耗品,ガチャ運が上がるという噂がある。
26,王家のショートケーキ,★3,消耗品,今日一番頑張った自分へのご褒美！
27,聖なる宝冠,★3,装備,高貴な輝きを放つティアラ。
28,精霊のドレス,★3,装備,まるで光を纏っているような服。
29,全知の眼鏡,★3,装備,世界のすべてが見通せる伝説の眼鏡。
